Item1,Item2.X,Item2.Y
48686369.7024,98.72229,807.2293
48686399.5264,99.5267,808.2427
48686433.4976,99.06988,807.8599
48686478.8608,99.56985,808.6661
48686511.8592,99.05219,807.1486
48686545.3952,99.05219,807.1486
48686565.1072,98.58422,807.2704
48686592.768,99.19936,806.3158
48686638.6816,99.35191,806.8963
48686671.4496,98.90974,805.619
48686718.5792,98.90361,805.545
48686750.8736,98.90361,805.545
48686769.28,99.08167,805.152
48686799.5904,99.09131,803.4057
48686830.9504,99.71217,804.0192
48686878.5152,99.11183,804.3245
48686912.6272,99.19456,803.8611
48686943.5776,99.19456,803.8611
48686964.1088,99.53318,804.6418
48686991.5648,99.10377,802.2654
48687038.8352,99.80242,803.5264
48687070.5536,100.1364,802.9807
48687119.488,99.91798,803.7894
48687151.3216,99.91798,803.7894
48687168.2048,100.8489,805.4395
48687200.1024,100.8128,805.2255
48687231.0144,99.28597,803.0463
48687280.96,99.95069,804.4923
48687311.3856,99.57912,803.5364
48687343.36,99.57912,803.5364
48687363.328,99.19851,803.4272
48687391.7056,98.98092,803.5978
48687438.6944,98.53845,799.8584
48687471.2192,101.5755,795.2245
48687518.9376,101.7659,796.6091
48687550.5792,101.7659,796.6091
48687567.9744,100.686,806.143
48687598.912,99.72451,804.7054
48687633.5232,99.15121,801.4551
48687680.3072,98.45484,806.5598
48687711.1424,98.42403,806.7545
48687744.064,98.42403,806.7545
48687762.3424,98.81816,804.0063
48687792.2944,98.23958,806.8092
48687842.2656,99.41312,804.1176
48687871.6416,98.402,806.5317
48687919.2064,99.2887,804.3918
48687951.0784,99.2887,804.3918
48687970.496,98.63685,806.8024
48688001.0624,98.62935,806.624
48688035.328,98.5722,806.3227
48688078.9504,99.13562,805.382
48688111.36,98.89613,804.7167
48688144.448,98.89613,804.7167
48688162.7392,98.39094,807.3644
48688190.6816,98.80032,807.2163
48688241.344,99.22119,805.5216
48688272.8192,98.69225,806.8466
48688320.2816,98.5619,807.1029
48688350.5408,98.5619,807.1029
48688371.712,98.16811,807.5696
48688398.7456,98.98033,805.6991
48688432.128,98.5131,806.8685
48688479.808,98.32056,807.6843
48688510.912,98.15206,807.7652
48688543.9744,98.15206,807.7652
48688563.6608,98.49402,808.162
48688591.7056,98.25098,807.6907
48688640.3072,98.12382,807.3004
48688671.2704,98.10456,807.3207
48688718.3744,97.99364,807.1476
48688752.4736,97.99364,807.1476
48688770.1248,97.67142,806.7819
48688799.5904,97.78527,806.851
48688831.4624,97.75663,807.1004
48688879.0784,97.94837,806.8929
48688910.912,97.7872,806.5053
48688944.5888,97.7872,806.5053
48688960.5248,97.91026,806.6007
48688991.0784,97.91807,806.6086
48689039.5776,97.83427,806.6315
48689071.2064,98.4728,800.21
48689118.8096,97.89608,806.5195
48689151.2192,97.89608,806.5195
48689171.8656,98.61929,800.1615
48689199.04,99.28172,803.8528
48689231.0784,99.12807,804.6013
48689279.04,99.15562,804.9202
48689312.0384,98.68775,807.4233
48689344.3328,98.68775,807.4233
48689361.4208,99.53014,806.0952
48689391.6288,98.88573,806.7576
48689439.7696,99.22494,805.1656
48689471.5648,99.12128,806.0288
