FrameCounter,Timestamp,LedState,Stimulation,Output0,Output1,Input0,Input1,Region0G,Region1R
373,387.11088,2,0,0,0,0,0,0.00479465257579112,0.0117005380228222
374,387.127552,1,0,0,0,0,0,0.00525656156553181,0.0133187946015236
375,387.144224,2,0,0,0,0,0,0.00477888776385458,0.011664340768728
376,387.160864,1,0,0,0,0,0,0.00524194328537248,0.0132559729208641
377,387.177536,2,0,0,0,0,0,0.00474449181053849,0.0115973309760246
378,387.194208,1,0,0,0,0,0,0.00521858270041196,0.0132335366063429
379,387.21088,2,0,0,0,0,0,0.00473460297396011,0.0115810272541391
380,387.227552,1,0,0,0,0,0,0.00519923497667166,0.0132121473198327
381,387.244192,2,0,0,0,0,0,0.00475280416592321,0.0116251520060309
382,387.260864,1,0,0,0,0,0,0.00518791297537178,0.0131995829837008
383,387.277536,2,0,0,0,0,0,0.0047121022878325,0.0115080344442301
384,387.294208,1,0,0,0,0,0,0.00519823176136661,0.0131599454947133
385,387.31088,2,0,0,0,0,0,0.00473875915165247,0.0115530566487027
386,387.327552,1,0,0,0,0,0,0.00521915596630057,0.0132288997680085
387,387.344192,2,0,0,0,0,0,0.00474076558226258,0.0115539541012835
388,387.360864,1,0,0,0,0,0,0.00519464884956285,0.0132088566603695
389,387.377536,2,0,0,0,0,0,0.00473130669510066,0.0113989939556569
390,387.394208,1,0,0,0,0,0,0.00496075636701342,0.0113808953286097
391,387.41088,2,0,0,0,0,0,0.00427871327604974,0.0090645702174378
392,387.42752,1,0,0,0,0,0,0.00473718267045882,0.0108609711334377
393,387.444192,2,0,0,0,0,0,0.00427756674427254,0.0100628366382025
394,387.460864,1,0,0,0,0,0,0.00483033837735657,0.0116881232621205
395,387.477536,2,0,0,0,0,0,0.00421020800236186,0.00916732853794504
396,387.494208,1,0,0,0,0,0,0.00457810138637189,0.0103714107505845
397,387.510848,2,0,0,0,0,0,0.00411991862490711,0.00825461926322135
398,387.52752,1,0,0,0,0,0,0.00445943534743137,0.0094465858660193
399,387.544192,2,0,0,0,0,0,0.00405399304771794,0.00731842664596543
400,387.560864,1,0,0,0,0,0,0.00436828607114373,0.00884873287174356
401,387.577536,2,0,0,0,0,0,0.00403607848869914,0.00704904129628051
402,387.594208,1,0,0,0,0,0,0.00432973394013528,0.0086180875584653
403,387.610848,2,0,0,0,0,0,0.00400985157429562,0.00674645020110417
404,387.62752,1,0,0,0,0,0,0.00429146844207112,0.00825776034725432
405,387.644192,2,0,0,0,0,0,0.00401974041087399,0.00661317849284805
406,387.660864,1,0,0,0,0,0,0.00427856995957759,0.00814228811518505
